key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,up,0.005,db,0.08116465,0.000359227,187.7564438,187.7564438,188.057464,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,up,0.005,db,1.01194111,0.00125639,190.4491275,190.4491275,190.7502434,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,up,0.005,db,0.091194111,0.0012096,193.0751492,193.0751492,193.3759604,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,down,0.005,db,0.061223589,0.001192695,196.4031841,196.4031841,196.7042194,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,down,0.005,db,0.051253084,0.001196016,199.1793828,199.1793828,199.4804114,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,up,0.005,db,0.031282596,0.001039043,202.2899249,202.2899249,202.5909405,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,up,0.005,db,0.011312125,0.000375528,205.0325828,205.0325828,205.3341995,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,up,0.005,db,0.041341672,0.000836789,208.0263748,208.0263748,208.3279384,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,down,0.005,db,0.061341672,0.001197223,210.8194837,210.8194837,211.1209908,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,down,0.005,db,0.071371235,0.00120145,214.8670336,214.8670336,215.1681187,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,up,0.005,db,1.051400815,0.000813846,217.7604581,217.7604581,218.061462,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,up,0.005,db,0.081400815,0.000825016,220.5030165,220.5030165,220.8040505,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,up,0.005,db,0.041400815,0.00036285,224.2164348,224.2164348,224.5175446,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,73,72,up,0.005,db,0.021430412,0.001200846,227.1260133,227.1260133,227.4276768,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,74,73,down,0.005,db,0.051430412,0.000821695,230.5212513,230.5212513,230.8221987,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,75,74,down,0.005,db,0.071430412,0.001210204,233.9330518,233.9330518,234.2340608,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,76,75,down,0.005,db,0.081400815,0.001195412,237.6294265,237.6294265,237.9306383,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,77,76,up,0.005,db,1.051430412,0.000832562,242.2620926,242.2620926,242.5633359,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,78,77,up,0.005,db,0.09430412,0.001215638,245.5400338,245.5400338,245.8410814,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,79,78,up,0.005,db,0.071430412,0.000364359,248.5510829,248.5510829,248.8520333,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,80,79,down,0.005,db,0.061400815,0.001311029,252.0633022,252.0633022,252.3643423,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,81,80,down,0.005,db,0.041430412,0.001200242,256.1101666,256.1101666,256.4112456,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,82,81,up,0.005,db,0.021430412,0.000362548,258.919853,258.919853,259.2215488,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,83,82,down,0.005,db,0.051460026,0.00119511,261.8132594,261.8132594,262.1143219,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,84,83,down,0.005,db,0.071460026,0.001221373,264.8237935,264.8237935,265.1248176,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,85,84,down,0.005,db,0.091489658,0.001196922,268.921916,268.921916,269.222894,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,86,85,up,0.005,db,1.051489658,0.001242806,272.0488377,272.0488377,272.3499666,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,87,86,up,0.005,db,0.071519306,0.001194808,275.3603993,275.3603993,275.6613787,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,down,0.005,db,0.041548971,0.000362246,278.9227951,278.9227951,279.2237655,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,up,0.005,db,0.021548971,0.001275106,281.7325809,281.7325809,282.0336173,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,up,0.005,db,0.031548971,0.000692192,285.1109044,285.1109044,285.4120257,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,down,0.005,db,0.051519306,0.000363454,288.0377243,288.0377243,288.3393534,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,down,0.005,db,0.081548971,0.001250051,291.1323288,291.1323288,291.4333722,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,down,0.005,db,0.091578654,0.000716945,293.9583221,293.9583221,294.2600018,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,93,up,0.005,db,1.051578654,0.001242504,296.8014451,296.8014451,297.102647,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,94,up,0.005,db,0.071608354,0.001210204,303.3743892,303.3743892,303.6754619,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,95,down,0.005,db,0.041608354,0.001227109,307.1208918,307.1208918,307.4219156,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,96,up,0.005,db,0.021608354,0.000678306,310.4155232,310.4155232,310.7171154,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,97,down,0.005,db,0.05163807,0.001187262,313.3757932,313.3757932,313.6774201,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,99,98,down,0.005,db,0.07667804,0.001226203,317.4901643,317.4901643,317.7911262,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,100,99,down,0.005,db,0.096437804,0.00130469,321.5047721,321.5047721,321.8056716,0
